report_date,fw_rob,bbm_rob,me_oil_rob,ae_oil_rob,fw_consumption,bbm_consumption,me_oil_consumption,ae_oil_consumption
2021-01-01,27,10492,152,193,3,216,0,0
2021-01-02,24,10276,152,191,3,216,0,2
2021-01-03,21,10060,152,191,3,216,0,0
2021-01-04,17,8449,152,191,4,1611,0,0
2021-01-05,13,6697,152,191,4,1752,0,0
2021-01-06,10,6481,152,135,3,216,0,56
2021-01-07,57,3265,152,135,3,216,0,0
2021-01-08,54,6049,152,135,3,216,0,0
2021-01-09,51,35515,152,135,3,384,0,0
2021-01-10,48,34031,152,135,3,1484,0,0
2021-01-11,45,33498,152,133,3,533,0,2
2021-01-12,42,31871,152,133,3,1627,0,0
2021-01-13,39,31655,152,133,3,216,0,0
2021-01-14,36,31439,152,133,3,216,0,0
2021-01-15,33,31223,152,133,3,216,0,0
2021-01-16,30,29632,152,133,3,1591,0,0
2021-01-17,27,27813,152,127,3,1819,0,6
2021-01-18,23,27528,152,127,4,285,0,0
2021-01-19,20,27312,152,127,3,216,0,0
2021-01-20,17,27096,152,127,3,216,0,0
2021-01-21,14,26712,152,126,3,384,0,1
2021-01-22,11,24867,152,124,3,1845,0,2
2021-01-23,58,23265,151,124,3,1602,0,0
2021-01-24,55,23049,152,124,3,216,0,0
2021-01-25,52,22833,152,124,3,216,0,0
2021-01-26,49,22617,152,124,3,216,0,0
2021-01-27,46,22527,152,121,3,360,0,3
2021-01-28,43,20721,152,121,3,1536,0,0
2021-01-29,39,19015,152,118,4,1706,0,3
2021-01-30,36,18610,152,115,3,405,0,3
2021-01-31,33,18394,152,115,3,216,0,0
2021-02-01,30,18178,152,61,3,216,0,54
2021-02-02,27,17794,152,61,3,384,0,0
2021-02-03,24,16356,152,61,3,1456,0,0
2021-02-04,21,15265,152,61,3,1091,0,3
2021-02-05,21,14215,152,60,3,1050,0,0
2021-02-06,16,13999,152,57,4,216,0,0
2021-02-07,12,13783,152,55,4,216,0,0
2021-02-08,24,13567,152,55,3,216,0,0
2021-02-09,36,11777,152,55,3,1774,0,0
2021-02-10,33,10896,152,49,3,1197,0,6
2021-02-11,49,9590,152,49,4,1006,0,0
2021-02-12,46,9374,152,47,3,216,0,0
2021-02-13,43,9158,152,47,3,216,0,0
2021-02-14,40,8710,152,47,3,448,0,0
2021-02-15,37,7142,152,45,3,1568,0,0
2021-02-16,34,6053,152,45,3,1089,0,0
2021-02-17,31,4973,152,45,3,1080,0,0
2021-02-18,27,4817,152,252,4,216,0,0
2021-02-19,24,4601,152,252,3,216,0,0
2021-02-20,22,4385,152,252,2,216,0,0
2021-02-21,19,32473,152,250,3,1772,0,0
2021-02-22,16,31893,152,248,3,535,0,0
2021-02-23,13,30339,152,246,3,1614,0,2
2021-02-24,10,30123,152,192,3,216,0,54
2021-02-25,6,29857,152,192,4,266,0,0
2021-02-26,53,29641,152,192,3,216,0,0
2021-02-27,50,28513,152,192,3,1128,0,0
2021-02-28,47,27114,152,192,3,1399,0,0
2021-03-01,43,25960,152,187,4,1214,0,3
2021-03-02,39,25744,152,187,4,216,0,0
2021-03-03,36,25528,152,187,3,216,0,0
2021-03-04,33,25157,152,187,3,371,0,0
2021-03-05,30,23434,152,187,3,1723,0,0
2021-03-06,26,21872,152,187,4,1562,0,0
2021-03-07,23,21656,152,185,3,216,0,0
2021-03-08,20,21440,152,185,3,216,0,0
2021-03-09,17,21224,152,183,3,216,0,0
2021-03-10,14,19610,152,180,3,216,0,0
2021-03-11,11,18532,152,178,3,1078,0,0
2021-03-12,8,17207,152,178,3,1325,0,0
2021-03-13,5,16991,152,178,3,216,0,0
2021-03-14,52,16775,152,175,3,216,0,0
2021-03-15,49,16559,152,173,3,216,0,0
2021-03-16,46,15962,152,173,3,597,0,0
2021-03-17,43,13986,152,173,3,1976,0,0
2021-03-18,40,12858,152,119,3,1128,0,0
2021-03-19,36,12642,152,119,4,216,0,0
2021-03-20,33,12426,152,119,3,216,0,0
2021-03-21,30,11900,152,119,3,526,0,0
2021-03-22,27,10500,152,119,3,1400,0,0
2021-03-23,23,8777,152,117,4,1723,0,0
2021-03-24,20,8561,152,117,3,216,0,2
2021-03-25,47,8345,152,117,3,216,0,0
2021-03-26,44,36760,152,117,3,216,0,0
2021-03-27,41,35249,152,111,3,1511,0,2
2021-03-28,38,34518,152,111,3,731,0,0
2021-03-29,35,34372,152,111,3,216,0,0
2021-03-30,32,34156,152,57,3,216,0,0
2021-03-31,29,33940,152,55,3,216,0,2
2021-04-01,26,33569,152,55,3,371,0,0
2021-04-02,23,33036,152,55,3,1533,0,0
2021-04-03,20,33338,152,55,3,1698,0,0
2021-04-04,16,30122,152,55,4,216,0,0
2021-04-05,13,29906,152,55,3,216,0,0
2021-04-06,11,29690,152,53,3,216,0,0
2021-04-07,9,28671,152,53,2,1019,0,0
2021-04-08,6,27012,152,53,3,1659,0,0
2021-04-09,42,26045,152,53,4,1027,0,0
2021-04-10,39,25829,152,51,3,216,0,0
2021-04-11,46,25613,152,48,3,216,0,0
2021-04-12,43,24162,152,46,3,1451,0,0
2021-04-13,40,23172,152,46,3,990,0,0
2021-04-14,37,22012,152,46,3,1160,0,0
2021-04-15,34,21856,152,41,3,216,0,0
2021-04-16,31,21640,152,41,3,216,0,0
2021-04-17,28,21424,152,41,3,216,0,0
2021-04-18,25,21031,152,39,3,216,0,0
2021-04-19,22,19445,152,39,3,1586,0,0
2021-04-20,19,17674,152,39,3,1772,0,0
2021-04-21,16,17518,152,457,3,216,0,0
2021-04-22,63,17302,152,457,3,216,0,0
2021-04-23,60,16167,102,457,3,1135,0,0
2021-04-24,57,14814,102,401,3,1353,0,56
2021-04-25,54,12887,102,399,3,1927,0,0
2021-04-26,51,9788,102,399,3,3099,0,0
2021-04-27,48,9401,102,399,3,387,0,0
2021-04-28,45,7642,102,399,3,1759,0,0
2021-04-29,41,5668,102,399,4,1974,0,0
2021-04-30,38,29850,102,399,3,607,0,0
2021-05-01,35,32872,102,399,3,2043,0,0
2021-05-02,32,31677,102,399,2,1195,0,0
2021-05-03,29,31461,102,396,3,216,0,3
2021-05-04,26,31245,102,396,3,216,0,0
2021-05-05,22,29639,102,396,4,1606,0,0
2021-05-06,19,27724,102,396,3,1915,0,2
2021-05-07,16,27508,102,396,3,216,0,0
2021-05-08,63,27292,102,394,3,216,0,0
2021-05-09,60,26873,102,394,3,419,0,0
2021-05-10,57,25309,102,394,3,394,0,0
2021-05-11,54,25018,102,394,3,291,0,0
2021-05-12,51,24593,102,394,3,425,0,0
2021-05-13,48,23938,102,394,3,655,0,0
2021-05-14,46,22378,102,338,3,1560,0,54
2021-05-15,42,21707,102,338,4,671,0,0
2021-05-16,38,21395,102,338,4,312,0,0
2021-05-17,35,19845,102,338,3,1550,0,0
2021-05-18,32,19347,102,338,3,498,0,0
2021-05-19,29,17904,102,338,3,1443,0,0
2021-05-20,26,16984,102,338,3,920,0,0
2021-05-21,23,16768,102,338,3,219,0,0
2021-05-22,20,15235,102,337,3,1533,0,1
2021-05-23,17,13417,102,337,3,1818,0,0
2021-05-24,14,13073,102,337,3,344,0,0
2021-05-25,10,12857,102,337,4,216,0,0
2021-05-26,56,12375,102,333,4,482,0,0
2021-05-27,53,10949,102,333,3,1426,0,0
2021-05-28,50,8991,102,333,3,1958,0,0
2021-05-29,46,8775,102,333,4,216,0,0
2021-05-30,43,8559,102,330,3,216,0,0
2021-05-31,40,8265,102,330,3,294,0,0
2021-06-01,37,36474,102,330,3,1666,0,0
2021-06-02,34,34694,102,327,3,1780,0,0
2021-06-03,31,34478,102,327,3,216,0,0
2021-06-04,29,34262,102,327,2,216,0,0
2021-06-05,27,33282,102,324,2,977,0,3
2021-06-06,24,31589,102,324,3,1693,0,0
2021-06-07,20,30408,102,324,4,1181,0,0
2021-06-08,17,30192,102,324,3,216,0,0
2021-06-09,14,29976,102,270,3,216,0,0
2021-06-10,11,29582,102,267,3,394,0,0
2021-06-11,8,27546,102,267,3,2036,0,0
2021-06-12,4,26222,102,267,3,1324,0,0
2021-06-13,51,26006,102,267,4,216,0,0
2021-06-14,48,25790,102,264,3,216,0,0
2021-06-15,45,25574,102,264,3,216,0,0
2021-06-16,42,25175,52,261,3,399,50,3
2021-06-17,39,23103,52,257,3,2072,0,4
2021-06-18,35,21912,52,357,4,2291,0,0
2021-06-19,32,21696,888,257,3,216,0,0
2021-06-20,29,19889,888,257,3,1807,0,0
2021-06-21,26,18192,888,254,3,1697,0,0
2021-06-22,22,17976,888,251,4,216,3,0
2021-06-23,19,17519,888,251,3,457,0,0
2021-06-24,16,16039,888,251,3,1480,0,0
2021-06-25,13,14117,888,251,3,1922,0,0
2021-06-26,60,13901,888,194,3,216,0,0
2021-06-27,56,13685,888,194,4,216,0,0
2021-06-28,53,12206,888,194,3,1479,0,0
2021-06-29,50,11990,888,194,3,216,0,0
2021-06-30,47,10891,888,190,3,1099,0,0
2021-07-01,44,9742,888,190,3,1149,0,0
2021-07-02,40,9526,888,190,4,216,0,0
2021-07-03,37,9310,888,185,3,216,0,5
2021-07-04,34,7883,888,185,3,1427,0,0
2021-07-05,31,7227,888,183,3,656,0,0
2021-07-06,28,5595,888,183,3,1632,0,0
2021-07-07,24,5379,338,178,4,216,0,0
2021-07-08,21,5163,338,178,3,216,0,0
2021-07-09,18,33521,338,178,3,1532,0,0
2021-07-10,15,31601,338,178,3,1920,0,0
2021-07-11,12,31137,338,174,3,464,0,0
2021-07-12,9,30921,338,174,3,216,0,0
2021-07-13,56,30705,338,117,3,216,0,0
2021-07-14,53,30170,338,117,3,535,0,0
2021-07-15,50,28127,338,117,3,2043,0,0
2021-07-16,46,26908,338,117,4,1219,0,0
2021-07-17,43,26692,338,117,3,216,0,0
2021-07-18,40,25622,338,113,3,1070,0,0
2021-07-19,37,24551,338,113,3,1071,0,0
2021-07-20,34,22897,338,113,3,1654,0,0
2021-07-21,30,22681,338,109,4,216,0,0
2021-07-22,27,22465,338,109,3,216,0,0
2021-07-23,24,22062,338,109,3,403,0,0
2021-07-24,21,20632,338,104,3,1430,0,0
2021-07-25,18,18697,338,104,3,1935,0,0
2021-07-26,16,18481,338,104,3,216,0,0
2021-07-27,12,18265,338,100,4,216,0,0
2021-07-28,9,17135,338,98,3,1130,0,0
2021-07-29,7,16527,338,98,2,608,0,0
2021-07-30,5,14851,338,98,2,1676,0,0
2021-07-31,53,14263,338,96,2,588,0,2
